pignum,treatment,tissue,Salmonella
77,control,cecal_cont,20
87,control,cecal_cont,11600
122,control,cecal_cont,2400
160,control,cecal_cont,260
191,control,cecal_cont,20
224,control,cecal_cont,260
337,control,cecal_cont,3800
345,control,cecal_cont,20
419,control,cecal_cont,640
458,control,cecal_cont,1220
50,RPS,cecal_cont,40
93,RPS,cecal_cont,200
97,RPS,cecal_cont,20
101,RPS,cecal_cont,NA
181,RPS,cecal_cont,120
244,RPS,cecal_cont,180
321,RPS,cecal_cont,60
355,RPS,cecal_cont,320
373,RPS,cecal_cont,0
392,RPS,cecal_cont,0
26,Acid,cecal_cont,120
52,Acid,cecal_cont,4000
126,Acid,cecal_cont,0
152,Acid,cecal_cont,0
178,Acid,cecal_cont,20
211,Acid,cecal_cont,0
348,Acid,cecal_cont,80
361,Acid,cecal_cont,0
378,Acid,cecal_cont,0
426,Acid,cecal_cont,80
74,Zn+Cu,cecal_cont,100
83,Zn+Cu,cecal_cont,80
219,Zn+Cu,cecal_cont,520
265,Zn+Cu,cecal_cont,360
295,Zn+Cu,cecal_cont,220
326,Zn+Cu,cecal_cont,360
422,Zn+Cu,cecal_cont,580
432,Zn+Cu,cecal_cont,20
450,Zn+Cu,cecal_cont,0
472,Zn+Cu,cecal_cont,60
22,RCS,cecal_cont,40
43,RCS,cecal_cont,20
65,RCS,cecal_cont,160
119,RCS,cecal_cont,180
138,RCS,cecal_cont,620
175,RCS,cecal_cont,0
198,RCS,cecal_cont,40
397,RCS,cecal_cont,20
453,RCS,cecal_cont,100
469,RCS,cecal_cont,900
6,Bglu,cecal_cont,1500
144,Bglu,cecal_cont,1720
228,Bglu,cecal_cont,100
240,Bglu,cecal_cont,0
253,Bglu,cecal_cont,0
461,Bglu,cecal_cont,0
8,Bglu,cecal_cont,0
141,Bglu,cecal_cont,0
226,Bglu,cecal_cont,0
237,Bglu,cecal_cont,240
77,control,IPP,0
87,control,IPP,0
122,control,IPP,20
160,control,IPP,20
191,control,IPP,0
224,control,IPP,0
337,control,IPP,0
345,control,IPP,0
419,control,IPP,0
458,control,IPP,20
50,RPS,IPP,0
93,RPS,IPP,0
97,RPS,IPP,0
101,RPS,IPP,NA
181,RPS,IPP,180
244,RPS,IPP,0
321,RPS,IPP,0
355,RPS,IPP,0
373,RPS,IPP,0
392,RPS,IPP,0
26,Acid,IPP,0
52,Acid,IPP,160
126,Acid,IPP,0
152,Acid,IPP,0
178,Acid,IPP,0
211,Acid,IPP,0
348,Acid,IPP,0
361,Acid,IPP,0
378,Acid,IPP,0
426,Acid,IPP,0
74,Zn+Cu,IPP,100
83,Zn+Cu,IPP,0
219,Zn+Cu,IPP,20
265,Zn+Cu,IPP,20
295,Zn+Cu,IPP,0
326,Zn+Cu,IPP,0
422,Zn+Cu,IPP,0
432,Zn+Cu,IPP,0
450,Zn+Cu,IPP,0
472,Zn+Cu,IPP,0
22,RCS,IPP,0
43,RCS,IPP,0
65,RCS,IPP,0
119,RCS,IPP,0
138,RCS,IPP,0
175,RCS,IPP,0
198,RCS,IPP,0
397,RCS,IPP,0
453,RCS,IPP,0
469,RCS,IPP,0
6,Bglu,IPP,0
144,Bglu,IPP,0
228,Bglu,IPP,0
240,Bglu,IPP,0
253,Bglu,IPP,0
461,Bglu,IPP,0
8,Bglu,IPP,0
141,Bglu,IPP,0
226,Bglu,IPP,0
237,Bglu,IPP,20
77,control,Tonsil,0
87,control,Tonsil,0
122,control,Tonsil,0
160,control,Tonsil,2300
191,control,Tonsil,0
224,control,Tonsil,148000
337,control,Tonsil,20
345,control,Tonsil,3600
419,control,Tonsil,100
458,control,Tonsil,3600
50,RPS,Tonsil,0
93,RPS,Tonsil,0
97,RPS,Tonsil,0
101,RPS,Tonsil,0
181,RPS,Tonsil,0
244,RPS,Tonsil,0
321,RPS,Tonsil,0
355,RPS,Tonsil,180
373,RPS,Tonsil,0
392,RPS,Tonsil,0
26,Acid,Tonsil,0
52,Acid,Tonsil,60
126,Acid,Tonsil,0
152,Acid,Tonsil,0
178,Acid,Tonsil,0
211,Acid,Tonsil,0
348,Acid,Tonsil,0
361,Acid,Tonsil,0
378,Acid,Tonsil,0
426,Acid,Tonsil,0
74,Zn+Cu,Tonsil,1100
83,Zn+Cu,Tonsil,0
219,Zn+Cu,Tonsil,0
265,Zn+Cu,Tonsil,0
295,Zn+Cu,Tonsil,0
326,Zn+Cu,Tonsil,0
422,Zn+Cu,Tonsil,0
432,Zn+Cu,Tonsil,0
450,Zn+Cu,Tonsil,0
472,Zn+Cu,Tonsil,0
22,RCS,Tonsil,0
43,RCS,Tonsil,0
65,RCS,Tonsil,0
119,RCS,Tonsil,0
138,RCS,Tonsil,20
175,RCS,Tonsil,0
198,RCS,Tonsil,900
397,RCS,Tonsil,0
453,RCS,Tonsil,0
469,RCS,Tonsil,60
6,Bglu,Tonsil,0
144,Bglu,Tonsil,44000
228,Bglu,Tonsil,0
240,Bglu,Tonsil,0
253,Bglu,Tonsil,0
461,Bglu,Tonsil,0
8,Bglu,Tonsil,0
141,Bglu,Tonsil,0
226,Bglu,Tonsil,0
237,Bglu,Tonsil,1160
77,control,ICLN,40
87,control,ICLN,200
122,control,ICLN,1360
160,control,ICLN,20
191,control,ICLN,0
224,control,ICLN,0
337,control,ICLN,0
345,control,ICLN,0
419,control,ICLN,0
458,control,ICLN,0
50,RPS,ICLN,20
93,RPS,ICLN,0
97,RPS,ICLN,20
101,RPS,ICLN,NA
181,RPS,ICLN,20
244,RPS,ICLN,20
321,RPS,ICLN,0
355,RPS,ICLN,0
373,RPS,ICLN,20
392,RPS,ICLN,0
26,Acid,ICLN,0
52,Acid,ICLN,20
126,Acid,ICLN,0
152,Acid,ICLN,0
178,Acid,ICLN,20
211,Acid,ICLN,0
348,Acid,ICLN,0
361,Acid,ICLN,0
378,Acid,ICLN,0
426,Acid,ICLN,0
74,Zn+Cu,ICLN,0
83,Zn+Cu,ICLN,0
219,Zn+Cu,ICLN,40
265,Zn+Cu,ICLN,0
295,Zn+Cu,ICLN,0
326,Zn+Cu,ICLN,20
422,Zn+Cu,ICLN,40
432,Zn+Cu,ICLN,100
450,Zn+Cu,ICLN,20
472,Zn+Cu,ICLN,0
22,RCS,ICLN,0
43,RCS,ICLN,20
65,RCS,ICLN,0
119,RCS,ICLN,0
138,RCS,ICLN,0
175,RCS,ICLN,0
198,RCS,ICLN,0
397,RCS,ICLN,0
453,RCS,ICLN,0
469,RCS,ICLN,0
6,Bglu,ICLN,300
144,Bglu,ICLN,0
228,Bglu,ICLN,80
240,Bglu,ICLN,20
253,Bglu,ICLN,120
461,Bglu,ICLN,20
8,Bglu,ICLN,0
141,Bglu,ICLN,0
226,Bglu,ICLN,20
237,Bglu,ICLN,60
77,control,Cecum,0
87,control,Cecum,2420
122,control,Cecum,80
160,control,Cecum,0
191,control,Cecum,0
224,control,Cecum,20
337,control,Cecum,300
345,control,Cecum,0
419,control,Cecum,340
458,control,Cecum,20
50,RPS,Cecum,0
93,RPS,Cecum,20
97,RPS,Cecum,20
101,RPS,Cecum,NA
181,RPS,Cecum,0
244,RPS,Cecum,0
321,RPS,Cecum,20
355,RPS,Cecum,20
373,RPS,Cecum,0
392,RPS,Cecum,0
26,Acid,Cecum,0
52,Acid,Cecum,0
126,Acid,Cecum,0
152,Acid,Cecum,0
178,Acid,Cecum,0
211,Acid,Cecum,0
348,Acid,Cecum,20
361,Acid,Cecum,0
378,Acid,Cecum,0
426,Acid,Cecum,20
74,Zn+Cu,Cecum,60
83,Zn+Cu,Cecum,20
219,Zn+Cu,Cecum,20
265,Zn+Cu,Cecum,40
295,Zn+Cu,Cecum,0
326,Zn+Cu,Cecum,20
422,Zn+Cu,Cecum,0
432,Zn+Cu,Cecum,0
450,Zn+Cu,Cecum,0
472,Zn+Cu,Cecum,20
22,RCS,Cecum,0
43,RCS,Cecum,20
65,RCS,Cecum,0
119,RCS,Cecum,20
138,RCS,Cecum,0
175,RCS,Cecum,0
198,RCS,Cecum,0
397,RCS,Cecum,0
453,RCS,Cecum,0
469,RCS,Cecum,40
6,Bglu,Cecum,60
144,Bglu,Cecum,0
228,Bglu,Cecum,260
240,Bglu,Cecum,0
253,Bglu,Cecum,0
461,Bglu,Cecum,0
8,Bglu,Cecum,0
141,Bglu,Cecum,0
226,Bglu,Cecum,0
237,Bglu,Cecum,20
