pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,Salmonella,treatment,treatXtime,log_sal,time_point_fact
77,0,11.44,101.7,NA,NA,NA,NA,NA,0,control,control_0,0,0
87,0,12.16,102.5,1.07,1.02,1.35,0.28,27.45098039,0,control,control_0,0,0
122,0,17.06,102.5,1.09,0.98,1.37,0.28,28.57142857,0,control,control_0,0,0
160,0,13.3,102.7,1.03,1.04,1.34,0.31,29.80769231,0,control,control_0,0,0
191,0,14.32,102.2,1.08,1.02,1.36,0.28,27.45098039,0,control,control_0,0,0
224,0,11.56,102,1.05,1.03,1.33,0.28,27.18446602,0,control,control_0,0,0
337,0,13.28,102.2,1.07,1.01,1.37,0.3,29.7029703,0,control,control_0,0,0
345,0,16.18,101.8,NA,NA,NA,NA,NA,0,control,control_0,0,0
419,0,14.18,102.6,1.07,1.01,1.35,0.28,27.72277228,0,control,control_0,0,0
458,0,12.6,102.5,1.05,1,1.32,0.27,27,0,control,control_0,0,0
50,0,14.24,102.2,1.03,1.02,1.32,0.29,28.43137255,0,RPS,RPS_0,0,0
93,0,14.08,102.4,1.09,0.98,1.34,0.25,25.51020408,0,RPS,RPS_0,0,0
97,0,12.06,103,1.12,1.02,1.38,0.26,25.49019608,0,RPS,RPS_0,0,0
101,0,11.32,103.2,1.04,1.02,1.28,0.24,23.52941176,0,RPS,RPS_0,0,0
181,0,17.62,103.2,1.07,1.05,1.37,0.3,28.57142857,0,RPS,RPS_0,0,0
244,0,15.84,103.8,1.04,1.04,1.28,0.24,23.07692308,0,RPS,RPS_0,0,0
321,0,15.24,103.5,1.07,1,1.34,0.27,27,0,RPS,RPS_0,0,0
355,0,14.5,103.6,1.04,1.02,1.28,0.24,23.52941176,0,RPS,RPS_0,0,0
373,0,16.56,103.6,1.07,1.04,1.31,0.24,23.07692308,0,RPS,RPS_0,0,0
392,0,13.08,102.3,1.06,1,1.29,0.23,23,0,RPS,RPS_0,0,0
26,0,11.48,102.8,1.09,1.01,1.36,0.27,26.73267327,0,Acid,Acid_0,0,0
52,0,17.48,102.9,1.07,0.99,1.31,0.24,24.24242424,0,Acid,Acid_0,0,0
126,0,12.42,102.7,1.08,1.04,1.32,0.24,23.07692308,0,Acid,Acid_0,0,0
152,0,15.16,103.3,1.07,1.01,1.31,0.24,23.76237624,0,Acid,Acid_0,0,0
178,0,16.7,102,1.06,1.01,1.31,0.25,24.75247525,0,Acid,Acid_0,0,0
211,0,14.16,103.3,1.07,1.01,1.35,0.28,27.72277228,0,Acid,Acid_0,0,0
348,0,14.24,102.9,1.01,1.05,1.28,0.27,25.71428571,0,Acid,Acid_0,0,0
361,0,9.48,103.3,1.05,1,1.18,0.13,13,0,Acid,Acid_0,0,0
378,0,15.92,103.4,1.06,1,1.34,0.28,28,0,Acid,Acid_0,0,0
426,0,17.38,103.4,1.06,1,1.32,0.26,26,0,Acid,Acid_0,0,0
74,0,13.54,103.4,1.09,1.04,1.36,0.27,25.96153846,0,Zn+Cu,Zn+Cu_0,0,0
83,0,22.4,103.7,1.07,0.98,1.31,0.24,24.48979592,0,Zn+Cu,Zn+Cu_0,0,0
219,0,12.64,103,1.08,1.04,1.37,0.29,27.88461538,0,Zn+Cu,Zn+Cu_0,0,0
265,0,14.86,103.5,1.05,0.99,1.33,0.28,28.28282828,0,Zn+Cu,Zn+Cu_0,0,0
295,0,19.84,103.8,1.05,1.04,1.3,0.25,24.03846154,0,Zn+Cu,Zn+Cu_0,0,0
326,0,19.08,103.4,1.05,0.99,1.28,0.23,23.23232323,0,Zn+Cu,Zn+Cu_0,0,0
422,0,16.32,103.8,1.1,1,1.35,0.25,25,0,Zn+Cu,Zn+Cu_0,0,0
432,0,15.16,102.5,1.11,1.02,1.34,0.23,22.54901961,0,Zn+Cu,Zn+Cu_0,0,0
450,0,13.7,104.1,1.06,1,1.29,0.23,23,0,Zn+Cu,Zn+Cu_0,0,0
472,0,15.38,103.8,1.08,1,1.33,0.25,25,0,Zn+Cu,Zn+Cu_0,0,0
22,0,12.82,103.9,1.06,1.05,1.35,0.29,27.61904762,0,RCS,RCS_0,0,0
43,0,13.6,102.9,1.04,1.11,1.33,0.29,26.12612613,0,RCS,RCS_0,0,0
65,0,15.14,102.5,1.02,0.99,1.29,0.27,27.27272727,0,RCS,RCS_0,0,0
119,0,16.08,103.6,1.02,1.07,1.31,0.29,27.10280374,0,RCS,RCS_0,0,0
138,0,11.94,102.4,1.09,1.05,1.34,0.25,23.80952381,0,RCS,RCS_0,0,0
175,0,15.52,103,1.08,1,1.34,0.26,26,0,RCS,RCS_0,0,0
198,0,12.66,102.4,1.07,1.06,1.34,0.27,25.47169811,0,RCS,RCS_0,0,0
397,0,17.44,103,1.07,1.06,1.37,0.3,28.30188679,0,RCS,RCS_0,0,0
453,0,17.5,103.5,1.07,1,1.29,0.22,22,0,RCS,RCS_0,0,0
469,0,14.14,102.1,1.04,1.01,1.3,0.26,25.74257426,0,RCS,RCS_0,0,0
6,0,14.46,102.4,1.06,1.01,1.26,0.2,19.8019802,0,Bglu,Bglu_0,0,0
144,0,15.76,102.6,1.07,1.02,1.35,0.28,27.45098039,0,Bglu,Bglu_0,0,0
228,0,14.2,102.1,1.04,0.99,1.31,0.27,27.27272727,0,Bglu,Bglu_0,0,0
240,0,14.88,102.4,1.08,1.03,1.46,0.38,36.89320388,0,Bglu,Bglu_0,0,0
253,0,15.32,103,1.06,1.05,1.33,0.27,25.71428571,0,Bglu,Bglu_0,0,0
461,0,12.16,102.3,1.09,1.04,1.4,0.31,29.80769231,0,Bglu,Bglu_0,0,0
8,0,16.22,102.8,1.04,1,1.34,0.3,30,0,Bglu,Bglu_0,0,0
141,0,11.5,102.1,1.07,1.05,1.37,0.3,28.57142857,0,Bglu,Bglu_0,0,0
226,0,10.76,102,1.03,0.98,1.27,0.24,24.48979592,0,Bglu,Bglu_0,0,0
237,0,16.66,102.2,1.06,1.01,1.23,0.17,16.83168317,0,Bglu,Bglu_0,0,0
77,2,NA,102.7,1.02,1.09,1.31,0.29,26.60550459,200,control,control_2,2.30102999566398,2
87,2,NA,104.3,1.04,1.02,1.33,0.29,28.43137255,300,control,control_2,2.47712125471966,2
122,2,NA,104.4,1.02,0.99,1.11,0.09,9.090909091,550000,control,control_2,5.74036268949424,2
160,2,NA,103.5,1.09,1,1.36,0.27,27,850,control,control_2,2.92941892571429,2
191,2,NA,103.7,1.03,1.02,1.27,0.24,23.52941176,350,control,control_2,2.54406804435028,2
224,2,NA,103,1.08,1,1.39,0.31,31,650,control,control_2,2.81291335664286,2
337,2,NA,103.4,1.03,1.02,1.3,0.27,26.47058824,44000,control,control_2,4.64345267648619,2
345,2,NA,103.5,1.09,0.99,1.24,0.15,15.15151515,350,control,control_2,2.54406804435028,2
419,2,NA,103.6,1.07,1.07,1.38,0.31,28.97196262,800,control,control_2,2.90308998699194,2
458,2,NA,103.1,1.04,1.06,1.26,0.22,20.75471698,2100,control,control_2,3.32221929473392,2
50,2,NA,103.4,1.08,1.02,1.39,0.31,30.39215686,1500,RPS,RPS_2,3.17609125905568,2
93,2,NA,103.1,1.04,1.04,1.33,0.29,27.88461538,2000,RPS,RPS_2,3.30102999566398,2
97,2,NA,102.6,1.06,1.04,1.32,0.26,25,0,RPS,RPS_2,0,2
101,2,NA,104.4,1.04,0.99,1.25,0.21,21.21212121,3300,RPS,RPS_2,3.51851393987789,2
181,2,NA,103.2,NA,NA,NA,NA,NA,50,RPS,RPS_2,1.69897000433602,2
244,2,NA,105.2,1.04,1,1.32,0.28,28,50,RPS,RPS_2,1.69897000433602,2
321,2,NA,102.1,1.05,1.01,1.36,0.31,30.69306931,0,RPS,RPS_2,0,2
355,2,NA,102.4,1.07,1.04,1.32,0.25,24.03846154,500,RPS,RPS_2,2.69897000433602,2
373,2,NA,103.1,1.04,1.01,1.28,0.24,23.76237624,100,RPS,RPS_2,2,2
392,2,NA,103,1.09,1.01,1.36,0.27,26.73267327,500,RPS,RPS_2,2.69897000433602,2
26,2,NA,102.7,1.02,1.01,1.31,0.29,28.71287129,50,Acid,Acid_2,1.69897000433602,2
52,2,NA,103.5,1.04,1.03,1.32,0.28,27.18446602,50,Acid,Acid_2,1.69897000433602,2
126,2,NA,102.4,1.01,1.01,1.28,0.27,26.73267327,50,Acid,Acid_2,1.69897000433602,2
152,2,NA,103,1.1,1,1.37,0.27,27,400,Acid,Acid_2,2.60205999132796,2
178,2,NA,101.7,1.08,1.04,1.34,0.26,25,50,Acid,Acid_2,1.69897000433602,2
211,2,NA,103.1,1.09,1.02,1.36,0.27,26.47058824,100,Acid,Acid_2,2,2
348,2,NA,103.4,1.03,1.04,1.24,0.21,20.19230769,85000,Acid,Acid_2,4.92941892571429,2
361,2,NA,102.8,1.03,1.02,1.33,0.3,29.41176471,21000,Acid,Acid_2,4.32221929473392,2
378,2,NA,103.2,1.05,1.04,1.22,0.17,16.34615385,50,Acid,Acid_2,1.69897000433602,2
426,2,NA,102.5,1.05,1,1.31,0.26,26,0,Acid,Acid_2,0,2
74,2,NA,102.8,1.09,1,1.39,0.3,30,50,Zn+Cu,Zn+Cu_2,1.69897000433602,2
83,2,NA,103.9,1.08,1.01,1.35,0.27,26.73267327,40000,Zn+Cu,Zn+Cu_2,4.60205999132796,2
219,2,NA,103.7,1.09,1,1.27,0.18,18,75000,Zn+Cu,Zn+Cu_2,4.8750612633917,2
265,2,NA,103,1.08,1.01,1.39,0.31,30.69306931,150,Zn+Cu,Zn+Cu_2,2.17609125905568,2
295,2,NA,103.1,1.08,1.04,1.36,0.28,26.92307692,500,Zn+Cu,Zn+Cu_2,2.69897000433602,2
326,2,NA,104.6,1.07,1.09,1.38,0.31,28.44036697,1500,Zn+Cu,Zn+Cu_2,3.17609125905568,2
422,2,NA,102.6,1.02,1.02,1.31,0.29,28.43137255,500,Zn+Cu,Zn+Cu_2,2.69897000433602,2
432,2,NA,102.9,1.07,1.05,1.35,0.28,26.66666667,100,Zn+Cu,Zn+Cu_2,2,2
450,2,NA,102.5,1.03,1.06,1.25,0.22,20.75471698,50,Zn+Cu,Zn+Cu_2,1.69897000433602,2
472,2,NA,103.2,1.05,1.07,1.31,0.26,24.29906542,350,Zn+Cu,Zn+Cu_2,2.54406804435028,2
22,2,NA,102.1,1.04,1.02,1.29,0.25,24.50980392,10000,RCS,RCS_2,4,2
43,2,NA,102.5,1.08,1.06,1.36,0.28,26.41509434,150,RCS,RCS_2,2.17609125905568,2
65,2,NA,102.3,1.06,0.99,1.32,0.26,26.26262626,100,RCS,RCS_2,2,2
119,2,NA,103.8,1.04,1.05,1.35,0.31,29.52380952,50,RCS,RCS_2,1.69897000433602,2
138,2,NA,104,1.03,1.02,1.31,0.28,27.45098039,50,RCS,RCS_2,1.69897000433602,2
175,2,NA,103.9,1.02,1.04,1.25,0.23,22.11538462,2000,RCS,RCS_2,3.30102999566398,2
198,2,NA,103.9,1.05,1.05,1.18,0.13,12.38095238,90000,RCS,RCS_2,4.95424250943933,2
397,2,NA,102.9,1.04,1.04,1.32,0.28,26.92307692,500,RCS,RCS_2,2.69897000433602,2
453,2,NA,103.1,1.02,1,1.24,0.22,22,500,RCS,RCS_2,2.69897000433602,2
469,2,NA,102.4,1,0.7,1.2,0.2,28.57142857,700,RCS,RCS_2,2.84509804001426,2
6,2,NA,104.2,1.03,1.06,1.28,0.25,23.58490566,300,Bglu,Bglu_2,2.47712125471966,2
144,2,NA,103.4,1.07,1,1.38,0.31,31,9000,Bglu,Bglu_2,3.95424250943932,2
228,2,NA,102.5,1.04,1,1.25,0.21,21,950,Bglu,Bglu_2,2.97772360528885,2
240,2,NA,103.4,1.05,1.06,1.42,0.37,34.90566038,50,Bglu,Bglu_2,1.69897000433602,2
253,2,NA,103.9,1.07,1.03,1.25,0.18,17.47572816,5000,Bglu,Bglu_2,3.69897000433602,2
461,2,NA,102.7,1.09,1.06,1.34,0.25,23.58490566,100,Bglu,Bglu_2,2,2
8,2,NA,103.3,1.08,1.03,1.39,0.31,30.09708738,0,Bglu,Bglu_2,0,2
141,2,NA,103.6,NA,NA,NA,NA,NA,550,Bglu,Bglu_2,2.74036268949424,2
226,2,NA,102,1.08,1.07,1.39,0.31,28.97196262,50,Bglu,Bglu_2,1.69897000433602,2
237,2,NA,104.8,1.05,1.01,1.22,0.17,16.83168317,1000,Bglu,Bglu_2,3,2
77,7,14.88,102.8,1.05,1.06,1.27,0.22,20.75471698,50,control,control_7,1.69897000433602,7
87,7,14.46,102.9,1.03,1.11,1.38,0.35,31.53153153,350,control,control_7,2.54406804435028,7
122,7,19.86,103.3,1.03,1.08,1.24,0.21,19.44444444,50,control,control_7,1.69897000433602,7
160,7,17.54,103.3,1.02,1.03,1.3,0.28,27.18446602,650,control,control_7,2.81291335664286,7
191,7,18.08,102.3,1.03,1.01,1.31,0.28,27.72277228,100,control,control_7,2,7
224,7,12.08,102.5,1.04,1.01,1.31,0.27,26.73267327,55000,control,control_7,4.74036268949424,7
337,7,17.98,103,1.06,NA,NA,NA,NA,6000,control,control_7,3.77815125038364,7
345,7,20.54,102.6,1.06,1.02,1.31,0.25,24.50980392,100,control,control_7,2,7
419,7,18.74,103.2,1.01,0.99,1.29,0.28,28.28282828,2600,control,control_7,3.41497334797082,7
458,7,14.52,102.1,1.03,1.09,1.37,0.34,31.19266055,100,control,control_7,2,7
50,7,16.14,102.4,1.03,1.03,1.31,0.28,27.18446602,600,RPS,RPS_7,2.77815125038364,7
93,7,17.74,102.9,1.05,1.04,1.27,0.22,21.15384615,50,RPS,RPS_7,1.69897000433602,7
97,7,15.1,102.9,1.02,1,1.24,0.22,22,0,RPS,RPS_7,0,7
101,7,11.44,103.6,1.06,1.03,1.32,0.26,25.24271845,55500,RPS,RPS_7,4.74429298312268,7
181,7,21.84,102.1,1.02,1,1.3,0.28,28,0,RPS,RPS_7,0,7
244,7,17.56,102.3,1.03,1.05,1.35,0.32,30.47619048,1500,RPS,RPS_7,3.17609125905568,7
321,7,17.64,102.7,1.02,0.98,1.32,0.3,30.6122449,50,RPS,RPS_7,1.69897000433602,7
355,7,18.08,101.9,1.07,1.07,1.37,0.3,28.03738318,50,RPS,RPS_7,1.69897000433602,7
373,7,19.56,102.3,1.04,1.05,1.34,0.3,28.57142857,50,RPS,RPS_7,1.69897000433602,7
392,7,16.72,103.5,1.02,1.03,1.31,0.29,28.15533981,50,RPS,RPS_7,1.69897000433602,7
26,7,14.74,102.4,1.09,1.05,1.38,0.29,27.61904762,50,Acid,Acid_7,1.69897000433602,7
52,7,21.76,103.7,1.02,1.02,1.33,0.31,30.39215686,50,Acid,Acid_7,1.69897000433602,7
126,7,14.66,102.7,1.02,1.08,1.3,0.28,25.92592593,12450,Acid,Acid_7,4.09516935143176,7
